eventName,eventVersion,goldenTicket,playDuration,playTime,playerID,score,silverTicket,stars,timestamp,durationPerPlay,freePerTicket,silverPerTicket,goldenPerTicket
game_matchFishLeaderboard3,154,121,8828,121,A74935589B45D2D8,1297100,0,35510,19/05/2022,72.96,0,0,293.47
game_matchFishLeaderboard3,154,99,7599,99,8974E5E4C6574E6A,1072350,0,28632,19/05/2022,76.76,0,0,289.21
game_matchFishLeaderboard3,154,93,7294,93,6CD1E5CE80175949,1013300,0,27444,19/05/2022,78.43,0,0,295.1
game_matchFishLeaderboard3,154,77,6051,77,D339CE552961B960,751900,0,19702,19/05/2022,78.58,0,0,255.87
game_matchFishLeaderboard3,154,58,4123,58,4B145F3FF2EBFBA8,631850,0,17052,19/05/2022,71.09,0,0,294.0
game_matchFishLeaderboard3,154,38,2665,38,618C15FC1137DECF,402800,0,10183,19/05/2022,70.13,0,0,267.97
game_matchFishLeaderboard3,154,27,1813,27,EEB0AD4C1B15A390,294250,0,7977,19/05/2022,67.15,0,0,295.44
game_matchFishLeaderboard3,154,27,1792,27,5F0722C1224D98C5,293950,0,7758,19/05/2022,66.37,0,0,287.33
game_matchFishLeaderboard3,154,26,2057,26,E27F711748F9FDCD,283250,0,7681,19/05/2022,79.12,0,0,295.42
game_matchFishLeaderboard3,154,26,1824,26,AEDA3BFE7BB9E39,283200,0,7622,19/05/2022,70.15,0,0,293.15
game_matchFishLeaderboard3,154,20,1473,20,89688A56C8A5DED0,218000,0,5961,19/05/2022,73.65,0,0,298.05
game_matchFishLeaderboard3,154,18,1193,18,3FB7FEFAB2E1F195,174350,0,4725,19/05/2022,66.28,0,0,262.5
game_matchFishLeaderboard3,154,20,1159,20,67EA176BEC32798F,185050,0,4616,19/05/2022,57.95,0,0,230.8
game_matchFishLeaderboard3,154,15,1084,15,D1AB751DFC2BD4AA,163450,0,4217,19/05/2022,72.27,0,0,281.13
game_matchFishLeaderboard3,154,14,960,14,90CC6AD32F094B3,152250,0,3737,19/05/2022,68.57,0,0,266.93
game_matchFishLeaderboard3,154,12,994,12,31E868B38B815DA3,130700,0,3265,19/05/2022,82.83,0,0,272.08
game_matchFishLeaderboard3,154,11,739,11,5741F06A9B2B2D47,119700,0,3168,19/05/2022,67.18,0,0,288.0
game_matchFishLeaderboard3,154,9,661,9,56F59617D5D45823,98450,0,2440,19/05/2022,73.44,0,0,271.11
game_matchFishLeaderboard3,154,9,688,9,5C44F09C943601BC,87200,0,2282,19/05/2022,76.44,0,0,253.56
game_matchFishLeaderboard3,154,8,637,8,D3FAF1E840454167,87100,0,2187,19/05/2022,79.63,0,0,273.38
game_matchFishLeaderboard3,154,10,673,10,13CB054489911E3D,87200,0,2147,19/05/2022,67.3,0,0,214.7
game_matchFishLeaderboard3,154,7,464,7,3EF9C8DBD1BB4D21,76300,0,2100,19/05/2022,66.29,0,0,300.0
game_matchFishLeaderboard3,154,7,499,7,7DC32DC9FC8C2F34,76300,0,2095,19/05/2022,71.29,0,0,299.29
game_matchFishLeaderboard3,154,7,478,7,5C69A39C9A1EC321,76300,0,2088,19/05/2022,68.29,0,0,298.29
game_matchFishLeaderboard3,154,7,540,7,CC66F510CA14DA79,76300,0,2052,19/05/2022,77.14,0,0,293.14
game_matchFishLeaderboard3,154,9,615,9,E18B895553A7946B,86350,0,2009,19/05/2022,68.33,0,0,223.22
game_matchFishLeaderboard3,154,7,533,7,662FC440FE050801,76200,0,1976,19/05/2022,76.14,0,0,282.29
game_matchFishLeaderboard3,154,7,463,7,6E417BDD3DA168B,76200,0,1935,19/05/2022,66.14,0,0,276.43
game_matchFishLeaderboard3,154,6,403,6,48AB52C70AB3B95C,65400,0,1809,19/05/2022,67.17,0,0,301.5
game_matchFishLeaderboard3,154,6,436,6,31D1C6B347E59B56,65400,0,1786,19/05/2022,72.67,0,0,297.67
game_matchFishLeaderboard3,154,6,436,6,A4BE2BD179012C0E,65400,0,1783,19/05/2022,72.67,0,0,297.17
game_matchFishLeaderboard3,154,9,504,9,5662AA5D74CC4949,76000,0,1760,19/05/2022,56.0,0,0,195.56
game_matchFishLeaderboard3,154,6,412,6,BDE74C38491B006,65400,0,1755,19/05/2022,68.67,0,0,292.5
game_matchFishLeaderboard3,154,6,448,6,FCA63D862D46E4BB,65400,0,1746,19/05/2022,74.67,0,0,291.0
game_matchFishLeaderboard3,154,6,404,6,FDB227765FE6B6DF,65550,0,1727,19/05/2022,67.33,0,0,287.83
game_matchFishLeaderboard3,154,6,460,6,691057B97B86FAEA,65300,0,1727,19/05/2022,76.67,0,0,287.83
game_matchFishLeaderboard3,154,6,409,6,F71E5FD8D23EDCE7,65300,0,1679,19/05/2022,68.17,0,0,279.83
game_matchFishLeaderboard3,154,6,494,6,75C3427FA6C4C4,64350,0,1671,19/05/2022,82.33,0,0,278.5
game_matchFishLeaderboard3,154,10,564,10,DDECC667FA281075,65400,0,1654,19/05/2022,56.4,0,0,165.4
game_matchFishLeaderboard3,154,6,407,6,B35170BD1EB37487,65300,0,1624,19/05/2022,67.83,0,0,270.67
game_matchFishLeaderboard3,154,5,346,5,396C9CDC1B567196,54500,0,1506,19/05/2022,69.2,0,0,301.2
game_matchFishLeaderboard3,154,5,374,5,2E198346A19FFAB8,54500,0,1481,19/05/2022,74.8,0,0,296.2
game_matchFishLeaderboard3,154,5,371,5,E92153956FDDF1EC,54500,0,1480,19/05/2022,74.2,0,0,296.0
game_matchFishLeaderboard3,154,5,356,5,4E9D26A9BA4DE75B,54500,0,1448,19/05/2022,71.2,0,0,289.6
game_matchFishLeaderboard3,154,5,379,5,7F0FA738E49C048C,54500,0,1417,19/05/2022,75.8,0,0,283.4
game_matchFishLeaderboard3,154,5,351,5,2E1AFEA5A7A4EBFB,54500,0,1402,19/05/2022,70.2,0,0,280.4
game_matchFishLeaderboard3,154,5,462,5,44C37BCD42D51CD5,54500,0,1398,19/05/2022,92.4,0,0,279.6
game_matchFishLeaderboard3,154,5,391,5,5DE554AE300A5238,54500,0,1388,19/05/2022,78.2,0,0,277.6
game_matchFishLeaderboard3,154,5,379,5,E57540E8531D13E8,54400,0,1383,19/05/2022,75.8,0,0,276.6
game_matchFishLeaderboard3,154,9,481,9,7C2ACB6585EED908,54500,0,1372,19/05/2022,53.44,0,0,152.44
game_matchFishLeaderboard3,154,6,348,6,269931AF19B6B023,54400,0,1366,19/05/2022,58.0,0,0,227.67
game_matchFishLeaderboard3,154,7,393,7,5C19AEB844A34AD6,54400,0,1364,19/05/2022,56.14,0,0,194.86
game_matchFishLeaderboard3,154,4,271,4,9303498DC3A813DB,43600,0,1215,19/05/2022,67.75,0,0,303.75
game_matchFishLeaderboard3,154,4,299,4,B89AD7687CC37C64,43600,0,1207,19/05/2022,74.75,0,0,301.75
game_matchFishLeaderboard3,154,6,593,6,20E63D1096801BE1,52850,0,1204,19/05/2022,98.83,0,0,200.67
game_matchFishLeaderboard3,154,4,292,4,BC67C2F91F2A89F3,43600,0,1199,19/05/2022,73.0,0,0,299.75
game_matchFishLeaderboard3,154,4,279,4,5A95EC3232A1D863,43600,0,1198,19/05/2022,69.75,0,0,299.5
game_matchFishLeaderboard3,154,4,270,4,C32C6C0A8D44C57C,43600,0,1198,19/05/2022,67.5,0,0,299.5
game_matchFishLeaderboard3,154,5,293,5,27FB37321A779FEB,43600,0,1180,19/05/2022,58.6,0,0,236.0
game_matchFishLeaderboard3,154,4,302,4,5E5E5A6FE3D589C1,43600,0,1158,19/05/2022,75.5,0,0,289.5
game_matchFishLeaderboard3,154,4,319,4,FABB61D13F914CD1,43600,0,1156,19/05/2022,79.75,0,0,289.0
game_matchFishLeaderboard3,154,4,281,4,A7284790608E87D8,43600,0,1140,19/05/2022,70.25,0,0,285.0
game_matchFishLeaderboard3,154,4,285,4,BAAE93DA1B5B0C76,43500,0,1125,19/05/2022,71.25,0,0,281.25
game_matchFishLeaderboard3,154,4,268,4,2AE0FF284CB357D4,43500,0,1124,19/05/2022,67.0,0,0,281.0
game_matchFishLeaderboard3,154,4,256,4,753A62EB0B38C09C,43500,0,1111,19/05/2022,64.0,0,0,277.75
game_matchFishLeaderboard3,154,4,387,4,6B4D3C8C8CDD95A2,43500,0,1069,19/05/2022,96.75,0,0,267.25
game_matchFishLeaderboard3,154,4,256,4,8C26A15605FB72A1,43400,0,1067,19/05/2022,64.0,0,0,266.75
game_matchFishLeaderboard3,154,6,317,6,9819D5BBBA395D1A,43750,0,1063,19/05/2022,52.83,0,0,177.17
game_matchFishLeaderboard3,154,4,330,4,C74C8ABF10748E0A,43600,0,1057,19/05/2022,82.5,0,0,264.25
game_matchFishLeaderboard3,154,4,385,4,486531A849400CFF,43550,0,1054,19/05/2022,96.25,0,0,263.5
game_matchFishLeaderboard3,154,4,264,4,9DC3B9CB316FC999,43550,0,1029,19/05/2022,66.0,0,0,257.25
game_matchFishLeaderboard3,154,4,293,4,1716AA56C232A7D4,41050,0,977,19/05/2022,73.25,0,0,244.25
game_matchFishLeaderboard3,154,6,435,6,11E33E26A622A6FB,64900,0,967,19/05/2022,72.5,0,0,161.17
game_matchFishLeaderboard3,154,3,221,3,A3B6ABAF2188C1AF,32700,0,902,19/05/2022,73.67,0,0,300.67
game_matchFishLeaderboard3,154,3,211,3,242E9E5E54FD8E88,32700,0,898,19/05/2022,70.33,0,0,299.33
game_matchFishLeaderboard3,154,3,210,3,B870E169E908AD24,32700,0,896,19/05/2022,70.0,0,0,298.67
game_matchFishLeaderboard3,154,3,197,3,489F73F4DA3D33B9,32700,0,895,19/05/2022,65.67,0,0,298.33
